ace,pro_com,LUM5_single,RNR_nres,nig_rat_daily,hType_mix,hType_mix2,hType_mix3,mdist_nres_daily,ratio_daily_nondaily,area,area_filtr,nig_rat_daily3,den_nres_daily,den_nres_non-daily,num_community_places,num_community_places_poi,sphi,avg_block_area,num_intersect,bld_entr_age,bld_avg_age,bld_std_age,bld_entr_interiors,enterprises_entr_size,enterprises_empl_size,pop_rat_num,bld_rat_int,emp_rat_pop,emp_rat_num,bld_rat_area,bor_rat_area,mdist_parks,mdist_smallparks,mdist_railways,mdist_water,mdist_highways
1,82053,0.834912561449,0.720798003979,0.314583333333,0.907507955089,4.37038352273,2.32217308907,25.9888067492,0.3775,2526490.0,2294074.15326,6.58217607244e-05,0.00010854051934,6.58217607244e-05,438.0,0.596730245232,0.386442410992,9.04135307772,1061.0,0.51547333912,71.3333333333,17.9388084486,1.70566431117,0.236804954166,8.49112734864,0.0101932188926,5.80078,1.43733480853,0.00709174983593,0.455101134597,0.0,1945.60486288,221.193580441,920.011375338,1368.70252766,2824.74964963
5,82053,0.997769277527,0.896482154695,0.02,0.831258769591,4.73722627737,2.30303030303,54.7603415367,0.181818181818,841640.0,671729.23392,1.48869507162e-06,4.01947669338e-05,8.93217042973e-06,37.0,0.616666666667,0.413074992779,9.34922189601,130.0,0.767402630951,58.4738372093,12.3116567564,1.75644348951,0.290459716469,10.2939297125,0.00941897371815,10.062,1.96368715084,0.00479657552076,0.298615134635,0.131742483926,2424.57158289,436.532828622,299.307164631,604.726984547,2037.92778531
6,82053,0.671734043118,0.695502142351,0.111111111111,0.899966780028,4.06577344702,2.23913043478,101.339152169,0.166666666667,1619940.0,1583958.2048,1.89398936848e-06,1.26265957898e-05,2.52531915797e-06,33.0,0.825,0.400029311244,9.7010839347,142.0,0.915519269821,47.7630522088,10.2339674828,1.76416669618,0.273413311409,6.19288389513,0.0127181386093,9.09622,6.09162382824,0.00208780761385,0.234750117695,0.00343583527707,3526.51613532,405.696048545,428.644805459,911.581689675,1339.96996331
7,82053,0.558116535557,0.577314071696,0.0,0.970021193206,3.40363636364,1.94117647059,100.401110752,0.0,1098970.0,1092818.22026,0.0,8.23558743178e-06,0.0,12.0,0.8,0.336880952737,9.94352167942,68.0,0.89284724303,48.8913894325,10.4517754344,1.63985960777,0.319738420925,4.31914893617,0.0147737287873,10.6745,19.8830049261,0.000743032999401,0.198218908103,0.0,4915.36134388,959.766201178,846.295364189,1125.37863621,1173.66138225
8,82053,0.613830539364,0.499159988808,0.1,0.964110747257,3.43488943489,2.13087248322,253.6621951,0.285714285714,1665450.0,1665450.0,1.20087663995e-06,6.00438319974e-06,2.40175327989e-06,15.0,0.576923076923,0.30123807971,10.437003174,47.0,0.915823132797,44.6976592978,9.90386128664,1.56545774482,0.3163939255,7.94680851064,0.00564712239935,4.69656,6.29518072289,0.000897054850041,0.175623142394,0.226589106855,3815.48434354,1045.9653077,190.534663561,1629.06690671,463.298246915
10,82053,0.727996557684,0.556194458965,0.0833333333333,0.700409241043,5.45422535211,2.25405405405,52.555421701,0.426229508197,1066320.0,1050758.32988,5.71016172738e-06,3.3309276743e-05,2.4744034152e-05,52.0,0.547368421053,0.45490021669,8.64889893079,277.0,0.6575464626,66.5238347458,15.2071734262,1.66158950521,0.175218970009,6.6061452514,0.0195506420609,9.97359,4.34312896406,0.00450151082842,0.347617574959,0.0132946509038,1658.77222602,298.662970764,249.446092374,1444.16271566,1827.2286174
11,82053,0.587771614421,0.724658282449,0.047619047619,0.823704096533,4.77802690583,2.30331753555,76.3104538728,0.166666666667,859274.0,854423.973288,1.17037914579e-06,1.75556871869e-05,3.51113743737e-06,19.0,0.703703703704,0.383303648793,9.49865646775,128.0,0.838751771925,49.7355769231,10.970293474,1.77044083225,0.217665567394,8.92721518987,0.014474078896,11.2063,4.38390641616,0.00330163957027,0.228103164931,0.0148203369732,2316.02435137,1060.92972973,219.78495346,1726.01380365,699.141183624
12,82053,0.660739746673,0.380483476844,0.0,0.950792403098,4.02747252747,2.12612612613,127.158413867,0.166666666667,1375040.0,1336304.03983,0.0,1.12249903861e-05,2.24499807722e-06,27.0,0.84375,0.363324364013,9.6467537335,97.0,0.853280057338,41.4132553606,10.6691949101,1.77982546397,0.369792570649,4.69078947368,0.0107565341207,10.0879,10.079943899,0.00106712241937,0.206337843434,0.018812497348,1617.60650697,1133.00899557,1057.02097583,2777.84149122,295.765565903
13,82053,0.687560341392,0.480945463795,0.2,0.27500139544,6.5298013245,2.26666666667,138.869573117,0.0,597548.0,562780.529831,1.77689160693e-06,7.10756642772e-06,0.0,5.0,0.625,0.363743825002,9.75329354166,37.0,0.699796565935,34.9353741497,12.4478496038,1.3367738566,0.163982143143,4.2,0.0152190766134,20.5099,21.4661654135,0.000708979751165,0.153164363914,0.0395782132131,1900.80407652,1624.9613483,1702.93196895,3403.562261,253.65697678
14,82053,0.482564082939,0.258018408083,0.0909090909091,0.909806221833,2.4764416315,2.03665123457,522.253069816,0.111111111111,5326900.0,5275115.92572,1.89569293657e-07,1.51655434926e-06,1.89569293657e-07,14.0,0.823529411765,0.28363069445,10.3010569443,126.0,0.933061167348,41.8880625477,9.81024791203,1.38720986778,0.267629136217,3.95508982036,0.00330191795692,2.64768,13.1854655564,0.000250421036921,0.131792399881,0.014030957457,2365.81870765,2108.61650405,2768.90267439,4458.98932673,1125.84213476
16,82053,0.65014203171,0.322687953976,0.0444444444444,0.811415042703,4.89982110912,2.39607843137,64.4535213507,0.414634146341,773168.0,772036.116511,2.5905523812e-06,3.10866285744e-05,2.20196952402e-05,30.0,0.566037735849,0.424265004155,9.39092715741,173.0,0.734459372296,60.2978927203,12.7813375883,1.73986994181,0.299210355175,11.3540669856,0.0158321608777,11.2308,2.57543194269,0.00614738080059,0.281963371395,0.00757614431683,736.352316488,329.214607616,511.186701098,2358.39227182,1481.44629464
17,82053,0.923969242122,0.875012823317,0.0629370629371,0.738278199696,5.26222222222,2.37278106509,99.8326476065,0.288888888889,2066550.0,1867072.83159,4.82037971295e-06,1.71391278683e-05,6.96277069648e-06,59.0,0.33908045977,0.354526382651,9.16094135469,192.0,0.727198750521,49.3055555556,12.5455115637,1.49923230649,0.279794964347,7.24615384615,0.0104505832177,17.9422,5.91810737034,0.00176586576818,0.193009660712,0.12821367706,315.922094343,257.219758078,1603.97713864,3471.81481465,826.644185779
18,82053,0.849384148188,0.5486847477,0.0659340659341,0.870081383683,4.31071428571,2.3132780083,58.2226089099,0.397435897436,1776890.0,1625905.26295,3.69025190873e-06,2.8906973285e-05,1.90663015284e-05,83.0,0.638461538462,0.389559567829,10.0883176864,159.0,0.787222384898,51.2085597826,12.1320237088,1.76963838595,0.276879735128,8.10150891632,0.0127252186653,10.8321,3.50321706739,0.00363243796216,0.293328302773,0.00090239041482,642.978335273,248.606582248,1391.10474965,3073.42061137,1667.87502635
