ace,pro_com,LUM5_single,RNR_nres,nig_rat_daily,hType_mix,hType_mix2,hType_mix3,mdist_nres_daily,ratio_daily_nondaily,area,area_filtr,nig_rat_daily3,den_nres_daily,den_nres_non-daily,num_community_places,num_community_places_poi,sphi,avg_block_area,num_intersect,bld_entr_age,bld_avg_age,bld_std_age,bld_entr_interiors,enterprises_entr_size,enterprises_empl_size,pop_rat_num,bld_rat_int,emp_rat_pop,emp_rat_num,bld_rat_area,bor_rat_area,mdist_parks,mdist_smallparks,mdist_railways,mdist_water,mdist_highways,temp_pois,temp_comm,temp_tot_pois,third_places_segr,activity_density
4,15146,0.716289764316,0.824614777846,0.164804469274,0.7361886213869999,5.26162790698,2.125,0.06521228059268346,0.295154185022,1619650.0,1586628.90172,3.7185759024e-05,0.00010084273633600002,4.22278958408e-05,0.00017647478858885234,0.542635658915,0.42067613864500003,9.52892032772,0.00019223146614142847,0.822303827524,54.5455531453,11.6842174113,1.63532486742,0.510256464081,11.4544792425,0.00871722428917,15.4031,0.8794429961210001,0.00991221071476,0.288619336729,0.22338775468199998,0.00061122347942643,0.0075752128470223355,0.002653300470454873,0.0005369518137503783,0.0003228625988233855,515.999999999742,18013.0,31080.000000000447,0.9362747059944729,0.009518394678823991
5,15146,0.21411108592,0.7785530813789999,0.148014440433,0.47956145264600003,6.0877796901900005,1.90384615385,0.055499239664004635,0.465625,1556020.0,1535515.94504,5.34022458477e-05,0.000111363219999,9.70357881866e-05,0.00028068741415040956,0.52496954933,0.404917079054,9.24355814173,0.0003555808077172242,0.722009766176,60.5086538462,13.058261135,1.38287578056,0.537567946073,13.3721854305,0.010231740054999999,18.2186,0.38904021394599997,0.0262999548331,0.405247135017,0.290404885608,0.0013227776446056894,0.002874954263714269,0.0022464813902510383,0.0008087521995520851,0.0002883653241017899,821.0000000001335,18013.0,31080.000000000447,0.905793237838041,0.01777375881628442
6,15146,0.818822990166,0.858163903346,0.09715025906739999,0.491275858841,6.09597924773,2.1258741258700002,0.0640513378938018,0.543209876543,1797600.0,1505524.90439,4.98165123548e-05,0.00014745687656999998,0.00017535412348900002,0.0002982348539640553,0.44280078895499997,0.42833213293000005,9.38115659983,0.00034871558648358363,0.642567790873,63.53169572109999,14.9904852889,1.5412826535100002,0.443311111527,10.2721617418,0.009353548359729999,13.2179,0.35533686601099995,0.0263230451283,0.470057152782,0.0997095666769,0.0011582626013048277,0.0025641337044873262,0.0006020020617546971,0.0004604915296724985,0.00031200326747301367,1013.9999999991645,18013.0,31080.000000000447,0.7640175717937931,0.02674301337108285
7,15146,0.795762132013,0.86010944729,0.166666666667,0.5981258495489999,5.78858350951,2.14406779661,0.06559046661217523,0.293650793651,1005570.0,896058.479048,7.25399084099e-05,0.00019864774918400003,8.25838957282e-05,0.00039171550541312124,0.614711033275,0.41126700437200003,9.53902174174,0.00035265555473090114,0.838929680321,51.470219435699995,10.8022399064,1.4927426413999998,0.383114545309,5.43671416597,0.012205676588899999,16.019000000000002,1.68624730188,0.00723836686071,0.412472869955,0.0061910505710600005,0.0004680088149516457,0.00429114446516635,0.00228846601127223,0.0019164809687613631,0.0006175284794263982,570.9999999999593,18013.0,31080.000000000447,1.0606350365950856,0.015080722411060546
8,15146,0.7333023463420001,0.963280959114,0.160563380282,0.732794094631,5.29985443959,2.0717299578099997,0.06298619882304705,0.34309623431,1584070.0,1568493.12735,3.63406118943e-05,0.00010009607135799999,5.22794767603e-05,0.00021804367136617024,0.617328519856,0.401391737205,9.622169218169999,0.00022951965406965287,0.842688512368,55.6814882033,11.6485446091,1.6722450022400002,0.462046952773,7.568720379149999,0.008464812353,12.6521,1.03921415153,0.00814539750109,0.297546430464,0.13627367767100002,0.00046057468706117363,0.0038572524843218012,0.0028727925198702192,0.0014612338193351507,0.00039129491406859223,553.9999999996371,18013.0,31080.000000000447,1.0651513016779415,0.008587078709331522
9,15146,0.289370986533,0.6689306913149999,0.20065789473700002,0.570614445024,5.829867674859999,1.9674796747999999,0.14690304790963482,0.316742081448,778849.0,778849.0,7.83207014453e-05,0.000193875834725,8.98762147733e-05,0.00040444296648002375,0.641547861507,0.380140744249,9.106292836,0.00035308512946668737,0.7941447727850001,59.129139072799994,12.495165921,1.57129046161,0.469205190263,6.1023965141600005,0.0163998413043,16.2098,1.52005236225,0.0107889976106,0.45999786223000005,0.0014646761748800003,0.0004684428210633098,0.005658403764332711,0.0014641593911460132,0.0006880621607159834,0.0003483707909256043,491.00000000009817,18013.0,31080.000000000447,1.1069398509763977,0.01150058258594413
10,15146,0.777293246751,0.598063100335,0.089258698941,0.38494432903399994,6.34973404255,2.06060606061,0.07814039723500989,0.429775280899,1390100.0,1349090.0077,4.3733182859e-05,0.00015047179865,0.00011340977927800001,0.00033504065512322156,0.496703296703,0.384586903978,9.23249928395,0.0003958223668933635,0.6351774795440001,62.834146341499995,14.2348388303,1.4825333979299997,0.44267264721199995,12.231292517,0.0120392263728,13.6356,0.41060774598000005,0.029320504765599997,0.463066443999,0.032895984306400006,0.0012586701087308283,0.005277102202612897,0.0016908425120315494,0.0010697752572550177,0.00037064344603926383,910.0000000005435,18013.0,31080.000000000447,0.8570220652600602,0.01801057203256906
11,15146,0.70606045812,0.335621171249,0.144615384615,0.51790215467,6.02163061564,2.18032786885,0.05581628522557756,0.37172774869099995,903036.0,894917.9780610001,5.25187795443e-05,0.000134090500964,7.93368797371e-05,0.0002815900520246594,0.535031847134,0.39599996031400003,9.320027755389999,0.0003341088315689411,0.731629933177,60.661938534300006,13.564661010999998,1.53274494533,0.42708447164999996,5.7494172494199995,0.0166227524362,14.7887,1.50780458139,0.0110244740209,0.480980461955,0.00746109773579,0.004348622767088295,0.0037961144337412506,0.002300312256132882,0.00041673345527692523,0.00036610351679641903,470.99999999978695,18013.0,31080.000000000447,0.9231549330441879,0.014594137161483818
12,15146,0.5664653913009999,0.7661976841179999,0.22905027933000002,0.6932425425800001,5.470187393530001,2.1195652173900004,0.039945475562386014,0.198581560284,1035660.0,936236.085929,4.37923731164e-05,0.000120696052735,2.99069865185e-05,0.00020294026566116438,0.655172413793,0.43062277471500005,9.60769187658,0.00031081903845999386,0.81230885955,56.81809338520001,11.960461708499999,1.63956877689,0.329137118088,6.07410881801,0.015176727551500001,14.7019,2.19444015444,0.006915990632399999,0.28806078969099996,0.0146918789863,0.0006075275074430598,0.004031180694853453,0.004645858226204764,0.0017227639649103892,0.0010788680788633034,290.0000000000458,18013.0,31080.000000000447,1.1304479331975092,0.007540627342028541
13,15146,0.26766327620700003,0.657966282591,0.119512195122,0.522315493734,6.01484230056,2.2589285714300003,0.08294819987891945,0.569288389513,950073.0,897038.3370780001,5.46241982919e-05,0.000128199649052,0.000169446492661,0.0003544998991189704,0.542662116041,0.420539184832,9.41953715965,0.00035338511956199253,0.830769465963,52.8904639175,11.263473969100001,1.51024166859,0.454306388117,6.599627560519999,0.015329333688000001,14.6382,1.29335966892,0.011852336249799998,0.506065014154,0.0,0.000582262048720023,0.005638578053685812,0.0010536380301643525,0.0016221783577971614,0.0004458407538351155,585.999999999952,18013.0,31080.000000000447,0.9363203556628281,0.020611895676307387
